id,company,product,type_name,inches,ram,weight,cpu_brand,cpu_generation,os_type,gpu_brand,gpu_type,memory_hdd,memory_ssd,memory_hybrid,memory_flash_storage,ips,retina,touchscreen,resolution_x,resolution_y,price
6571244,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,Intel,i5,macOS,Intel,integrated,0,128,0,0,1,1,0,2560,1600,1339
7287764,Apple,Macbook Air,Ultrabook,13.3,8,1.34,Intel,i5,macOS,Intel,integrated,0,0,0,128,0,0,0,1440,900,898
3362737,HP,250 G6,Notebook,15.6,8,1.86,Intel,i5,No OS,Intel,integrated,0,256,0,0,0,0,0,1920,1080,575
9722156,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,Intel,i7,macOS,AMD,dedicated,0,512,0,0,1,1,0,2880,1800,2537
8550527,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,Intel,i5,macOS,Intel,integrated,0,256,0,0,1,1,0,2560,1600,1803
8529462,Acer,Aspire 3,Notebook,15.6,4,2.1,AMD,9420,Windows,AMD,dedicated,500,0,0,0,0,0,0,1366,768,400
1450726,Apple,MacBook Pro,Ultrabook,15.4,16,2.04,Intel,i7,Mac OS X,Intel,integrated,0,0,0,256,1,1,0,2880,1800,2139
3824690,Apple,Macbook Air,Ultrabook,13.3,8,1.34,Intel,i5,macOS,Intel,integrated,0,0,0,256,0,0,0,1440,900,1158
9217974,Asus,ZenBook UX430UN,Ultrabook,14.0,16,1.3,Intel,i7,Windows,Nvidia,dedicated,0,512,0,0,0,0,0,1920,1080,1495
9202701,Acer,Swift 3,Ultrabook,14.0,8,1.6,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,770
7931331,HP,250 G6,Notebook,15.6,4,1.86,Intel,i5,No OS,Intel,integrated,500,0,0,0,0,0,0,1366,768,393
8409158,HP,250 G6,Notebook,15.6,4,1.86,Intel,i3,No OS,Intel,integrated,500,0,0,0,0,0,0,1920,1080,344
5084310,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,Intel,i7,macOS,AMD,dedicated,0,256,0,0,1,1,0,2880,1800,2439
5285373,Dell,Inspiron 3567,Notebook,15.6,4,2.2,Intel,i3,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,498
5474670,Apple,"MacBook 12""",Ultrabook,12.0,8,0.92,Intel,M,macOS,Intel,integrated,0,256,0,0,1,1,0,2304,1440,1262
1302644,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,Intel,i5,macOS,Intel,integrated,0,256,0,0,1,1,0,2560,1600,1518
8371792,Dell,Inspiron 3567,Notebook,15.6,8,2.2,Intel,i7,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,745
8249973,Apple,MacBook Pro,Ultrabook,15.4,16,1.83,Intel,i7,macOS,AMD,dedicated,0,512,0,0,1,1,0,2880,1800,2858
2456497,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,2.2,Intel,i3,No OS,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,499
4991632,Dell,XPS 13,Ultrabook,13.3,8,1.22,Intel,i5,Windows,Intel,integrated,0,128,0,0,1,0,1,1920,1080,979
7667029,Asus,Vivobook E200HA,Netbook,11.6,2,0.98,Intel,x5-Z8350,Windows,Intel,integrated,0,0,0,32,0,0,0,1366,768,191
5650428,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,2.5,Intel,i5,Windows,Nvidia,dedicated,1000,128,0,0,1,0,0,1920,1080,999
1690206,HP,255 G6,Notebook,15.6,4,1.86,AMD,E2-9000e,No OS,AMD,dedicated,500,0,0,0,0,0,0,1366,768,258
1940272,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,1.62,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,1,1920,1080,819
1135884,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,1.91,Intel,i7,Windows,Intel,integrated,0,256,0,0,0,0,0,1920,1080,659
4034740,Dell,Inspiron 3567,Notebook,15.6,4,2.3,Intel,i3,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,418
8264992,Apple,MacBook Air,Ultrabook,13.3,8,1.35,Intel,i5,Mac OS X,Intel,integrated,0,0,0,128,0,0,0,1440,900,1099
5634391,Dell,Inspiron 5570,Notebook,15.6,8,2.2,Intel,i5,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,800
7406268,Dell,Latitude 5590,Ultrabook,15.6,8,1.88,Intel,i7,Windows,Intel,integrated,0,512,0,0,0,0,0,1920,1080,1298
9600663,HP,ProBook 470,Notebook,17.3,8,2.5,Intel,i5,Windows,Nvidia,dedicated,1000,0,0,0,0,0,0,1920,1080,896
9141192,Chuwi,"LapBook 15.6""",Notebook,15.6,4,1.89,Intel,x5-Z8300,Windows,Intel,integrated,0,0,0,64,0,0,0,1920,1080,244
4366200,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,1.65,AMD,E2-6110,Windows,AMD,dedicated,0,0,0,32,0,0,0,1366,768,199
2501152,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,2.71,AMD,9220,Windows,AMD,dedicated,500,0,0,0,0,0,0,1920,1080,439
5766461,Dell,XPS 13,Ultrabook,13.3,16,1.2,Intel,i7,Windows,Intel,integrated,0,512,0,0,0,0,1,3200,1800,1869
2877805,Apple,MacBook Air,Ultrabook,13.3,8,1.35,Intel,i5,Mac OS X,Intel,integrated,0,0,0,256,0,0,0,1440,900,998
6744545,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,1.44,Intel,Dual,Windows,Intel,integrated,0,0,0,64,0,0,0,1366,768,249
2219629,Acer,Aspire 3,Notebook,15.6,4,2.1,Intel,i3,Linux,Intel,integrated,1000,0,0,0,0,0,0,1366,768,367
4621708,Dell,Inspiron 5770,Notebook,17.3,8,2.8,Intel,i5,Windows,AMD,dedicated,1000,128,0,0,1,0,0,1920,1080,979
2477848,HP,250 G6,Notebook,15.6,4,1.86,Intel,i5,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,488
8367566,HP,ProBook 450,Notebook,15.6,8,2.1,Intel,i5,Windows,Nvidia,dedicated,0,256,0,0,0,0,0,1920,1080,879
1898526,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,2.0,Intel,i3,Linux,Intel,integrated,1000,0,0,0,0,0,0,1920,1080,389
6353059,Dell,Inspiron 7577,Gaming,15.6,16,2.65,Intel,i7,Windows,Nvidia,dedicated,1000,256,0,0,1,0,0,1920,1080,1499
8646050,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,2.3,Intel,i5,Linux,Nvidia,dedicated,1000,0,0,0,0,0,0,1366,768,522
8782884,Acer,Aspire A515-51G,Notebook,15.6,4,2.2,Intel,i5,Windows,Intel,integrated,0,256,0,0,1,0,0,1920,1080,682
2459229,Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,2.77,Intel,i5,Windows,Nvidia,dedicated,1000,0,0,0,0,0,1,1920,1080,999
4758080,Apple,MacBook Pro,Ultrabook,13.3,8,1.37,Intel,i5,macOS,Intel,integrated,0,256,0,0,1,1,0,2560,1600,1419
7178730,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,2.2,Intel,i3,No OS,Intel,integrated,0,128,0,0,0,0,0,1366,768,369
7965266,Asus,Rog Strix,Gaming,17.3,8,3.2,AMD,1700,Windows,AMD,dedicated,1000,256,0,0,0,0,0,1920,1080,1299
3048980,Dell,Inspiron 3567,Notebook,15.6,4,2.3,Intel,i5,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,639
8118344,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,2.8,Intel,Quad,Windows,Nvidia,dedicated,1000,0,0,0,0,0,0,1366,768,466
9096590,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,0.69,Intel,x5-Z8550,Android,Intel,integrated,0,0,0,64,1,0,1,1920,1200,319
1786745,Acer,Aspire A515-51G,Notebook,15.6,8,2.2,Intel,i7,Windows,Nvidia,dedicated,0,256,0,0,1,0,0,1920,1080,841
4419704,HP,255 G6,Notebook,15.6,4,1.86,AMD,9220,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,398
8036099,HP,ProBook 430,Notebook,13.3,8,1.49,Intel,i7,Windows,Intel,integrated,0,512,0,0,0,0,0,1920,1080,1103
7161475,Acer,Aspire 3,Notebook,15.6,4,2.4,Intel,i3,Windows,Intel,integrated,1000,0,0,0,0,0,0,1366,768,384
3201203,Dell,Inspiron 3576,Notebook,15.6,8,2.13,Intel,i7,Windows,AMD,dedicated,0,256,0,0,0,0,0,1920,1080,767
9767942,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,1.91,Intel,i3,Windows,Intel,integrated,0,128,0,0,0,0,0,1920,1080,439
2776651,Asus,VivoBook Max,Notebook,15.6,4,2.0,Intel,i5,Windows,Intel,integrated,0,256,0,0,0,0,0,1366,768,586
